outlook	temperature	humidity	wind	playtennis
sunny	hot	high	weak	NO
sunny	hot	high	strong	NO
sunny	mild	high	weak	NO
sunny   mild    high    strong  NO
sunny   mild    normal  weak    YES
sunny   mild    normal  strong  NO
sunny	cool	normal	weak	YES
sunny	cool	normal	strong	NO
overcast	hot	high	weak	YES
overcast	mild	high	strong	YES
overcast	hot	normal	weak	YES
overcast	cool	normal	strong	YES
rainy	mild	high	weak	YES
rainy	cool	normal	weak	YES
rainy	cool	normal	strong	NO
rainy	mild	normal	weak	YES
sunny	mild	normal	strong	YES
rainy	mild	high	strong	NO
